Datum Zeit; Annaberg-Buchholz PM10; Bautzen PM10; Borna PM10; Brockau PM10
; µg/m³; µg/m³; µg/m³; µg/m³
12-01-16; 2; n. def.; 4; 4
11-01-16; 1; n. def.; 7; 5
10-01-16; 4; n. def.; 11; 8
09-01-16; 4; n. def.; 17; 12
08-01-16; 5; n. def.; 8; 7
07-01-16; 5; n. def.; 72; 97
06-01-16; 3; n. def.; 103; 114
05-01-16; 3; n. def.; 45; 68
04-01-16; 22; n. def.; 32; 42
03-01-16; 26; n. def.; 34; 51
02-01-16; 8; n. def.; 14; 31
01-01-16; 5; n. def.; 37; 17

Datum Zeit; Dresden-Bergstraße PM10; Dresden-Nord PM10; Dresden-Winckelmannstr. PM10; Freiberg PM10
; µg/m³; µg/m³; µg/m³; µg/m³
06-08-16; n. def.; n. def.; n. def.; n. def.
05-08-16; n. def.; n. def.; n. def.; n. def.
04-08-16; n. def.; n. def.; n. def.; n. def.
03-08-16; n. def.; n. def.; n. def.; n. def.
02-08-16; n. def.; n. def.; n. def.; n. def.
01-08-16; n. def.; n. def.; n. def.; n. def.
31-07-16; n. def.; n. def.; n. def.; n. def.
30-07-16; n. def.; n. def.; n. def.; n. def.
29-07-16; n. def.; n. def.; n. def.; n. def.
28-07-16; n. def.; n. def.; n. def.; n. def.
27-07-16; n. def.; n. def.; n. def.; n. def.
26-07-16; n. def.; n. def.; n. def.; n. def.
25-07-16; n. def.; n. def.; n. def.; n. def.
24-07-16; n. def.; n. def.; n. def.; n. def.
23-07-16; n. def.; n. def.; n. def.; n. def.
22-07-16; n. def.; n. def.; n. def.; n. def.
21-07-16; n. def.; n. def.; n. def.; n. def.
20-07-16; n. def.; n. def.; n. def.; n. def.
19-07-16; n. def.; n. def.; n. def.; n. def.
18-07-16; 18; 17; 13; 14
17-07-16; 13; 13; 10; 10
16-07-16; 15; 14; 10; 11
15-07-16; 11; 10; 6; 7
14-07-16; 12; 11; 9; 9
13-07-16; 18; 15; 11; 11
12-07-16; 20; 19; 14; 15
11-07-16; 19; 23; 13; 16
10-07-16; 15; 14; 12; 11
09-07-16; 16; 16; 12; 14
08-07-16; 18; 17; 11; 12
07-07-16; 16; 15; 10; 11
06-07-16; 13; 11; 9; 8
05-07-16; 16; 14; 11; 13
04-07-16; 13; 11; 8; 8
03-07-16; 9; 10; 7; 7
02-07-16; 13; 12; 9; 9
01-07-16; 16; 14; 9; 12
30-06-16; 16; 14; 10; 11
29-06-16; 14; 12; 8; 10
28-06-16; 15; 12; 9; 9
27-06-16; 13; 12; 8; 10
26-06-16; 11; 12; 9; 9
25-06-16; 31; 29; 22; 26
24-06-16; 26; 24; 18; 22
23-06-16; 18; 17; 13; 17
22-06-16; 18; 14; 10; 10
21-06-16; 15; 14; 8; 9
20-06-16; n. def.; 14; 11; 13
19-06-16; n. def.; 12; 9; 9
18-06-16; n. def.; 10; 6; 7
17-06-16; n. def.; 10; 6; 6
16-06-16; n. def.; 12; 9; 11
15-06-16; n. def.; 10; 7; 10
14-06-16; 14; 11; 8; 10
13-06-16; 18; 15; 11; 11
12-06-16; 17; 16; 13; 15
11-06-16; 23; 22; 17; 16
10-06-16; 22; 21; 15; 18
09-06-16; n. def.; 22; 17; 19
08-06-16; 24; 22; 16; 19
07-06-16; 21; 18; 13; 14
